ADDRESS_TYPE,X_COORD,Y_COORD,LATITUDE,LONGITUDE,ADDRESS_NUMBER_PREFIX,ADDRESS_NUMBER,ADDRESS_NUMBER_SUFFIX,PREMODIFIER,PREDIRECTIONAL,STREET_NAME,POSTTYPE,POSTDIRECTIONAL,POSTMODIFIER,BUILDING_TYPE,BUILDING_IDENTIFIER,UNIT_TYPE,UNIT_IDENTIFIER,COMPOSITE_UNIT_TYPE,COMPOSIT_UNIT_IDENTIFIER,FULL_ADDRESS
S,3144513.0,1704431.0,39.76634725,-104.98592958,,3063.0,,,N,Brighton,Blvd,,,,,Unit,450,Unit,450,3063 N Brighton Blvd Unit 450
S,3144732.0,1704217.0,39.76575478,-104.98515515,,3063.0,,,N,Brighton,Blvd,,,,,Unit,702,Unit,702,3063 N Brighton Blvd Unit 702
S,3144726.0,1704444.0,39.7663804,-104.98517094,,3063.0,,,N,Brighton,Blvd,,,,,Unit,729,Unit,729,3063 N Brighton Blvd Unit 729
S,3144768.0,1704337.0,39.76608521,-104.98502396,,3063.0,,,N,Brighton,Blvd,,,,,Unit,521,Unit,521,3063 N Brighton Blvd Unit 521
S,3144745.0,1704366.0,39.76616552,-104.98510698,,3063.0,,,N,Brighton,Blvd,,,,,Unit,922,Unit,922,3063 N Brighton Blvd Unit 922
S,3144753.0,1704238.0,39.76581236,-104.98507877,,3063.0,,,N,Brighton,Blvd,,,,,Unit,604,Unit,604,3063 N Brighton Blvd Unit 604
S,3144778.0,1704250.0,39.76584509,-104.98498952,,3063.0,,,N,Brighton,Blvd,,,,,Unit,405,Unit,405,3063 N Brighton Blvd Unit 405
S,3144625.0,1704359.0,39.76614713,-104.9855317,,3063.0,,,N,Brighton,Blvd,,,,,Unit,840,Unit,840,3063 N Brighton Blvd Unit 840
S,3144770.0,1704337.0,39.76608447,-104.98501841,,3063.0,,,N,Brighton,Blvd,,,,,Unit,721,Unit,721,3063 N Brighton Blvd Unit 721
S,3144693.0,1704495.0,39.76651996,-104.98528888,,3063.0,,,N,Brighton,Blvd,,,,,Unit,432,Unit,432,3063 N Brighton Blvd Unit 432
S,3144703.0,1704498.0,39.7665291,-104.98525361,,3063.0,,,N,Brighton,Blvd,,,,,Unit,433,Unit,433,3063 N Brighton Blvd Unit 433
S,3205972.0,1715547.0,39.79570416,-104.76699171,,18990.0,,,E,55th,Ave,,,,,,,,,18990 E 55th Ave
